圖片轉換日誌 - 2025-09-17 18:18:46
目標最大寬度: 1200px, 目標最大檔案: 500 KB
================================================================================
新檔名             | 原始檔名                           | 品質       | 最終大小            | 尺寸 (WxH)
--------------------------------------------------------------------------------
001.webp        | 20250917_143152.jpg            | 90       | 339.32 KB       | 1200x1600
002.webp        | 20250917_143515.jpg            | 90       | 402.82 KB       | 1200x1600
003.webp        | 20250917_143932.jpg            | 90       | 327.68 KB       | 1200x1600
004.webp        | 20250917_144029.jpg            | 95       | 427.31 KB       | 1200x900
005.webp        | 20250917_144242.jpg            | 95       | 356.34 KB       | 1200x900
006.webp        | 20250917_144306.jpg            | 95       | 389.73 KB       | 1200x900
007.webp        | 20250917_144339.jpg            | 95       | 226.40 KB       | 1200x900
008.webp        | 20250917_144342.jpg            | 95       | 264.50 KB       | 1200x900
009.webp        | 20250917_144458.jpg            | 95       | 327.73 KB       | 1200x900
010.webp        | 20250917_144501.jpg            | 95       | 411.11 KB       | 1200x900
011.webp        | 20250917_150726.jpg            | 95       | 465.11 KB       | 1200x1600
012.webp        | 20250917_150728.jpg            | 95       | 498.14 KB       | 1200x1600
013.webp        | 20250917_150946.jpg            | 95       | 452.90 KB       | 1200x1600
014.webp        | 20250917_150948.jpg            | 90       | 375.38 KB       | 1200x1600
015.webp        | 20250917_150954.jpg            | 95       | 358.64 KB       | 1200x900
016.webp        | 20250917_151012.jpg            | 95       | 316.12 KB       | 1200x900
017.webp        | 20250917_151112.jpg            | 95       | 480.02 KB       | 1200x1600
018.webp        | 20250917_151113.jpg            | 95       | 478.32 KB       | 1200x1600
019.webp        | 20250917_151115.jpg            | 95       | 440.21 KB       | 1200x1600
020.webp        | 20250917_151118.jpg            | 90       | 394.94 KB       | 1200x1600
021.webp        | 20250917_151123.jpg            | 95       | 270.78 KB       | 1200x900
022.webp        | 20250917_151641.jpg            | 95       | 341.52 KB       | 1200x900
023.webp        | 20250917_151644.jpg            | 95       | 335.30 KB       | 1200x900
024.webp        | 20250917_151651.jpg            | 95       | 369.61 KB       | 1200x900
025.webp        | 20250917_152609.jpg            | 95       | 495.29 KB       | 1200x1600
026.webp        | 20250917_152651.jpg            | 95       | 297.87 KB       | 1200x900
027.webp        | 20250917_152655.jpg            | 95       | 368.43 KB       | 1200x900
028.webp        | 20250917_152659.jpg            | 95       | 305.79 KB       | 1200x900
029.webp        | 20250917_152702.jpg            | 95       | 339.99 KB       | 1200x900
030.webp        | 20250917_152705.jpg            | 95       | 346.58 KB       | 1200x900
031.webp        | 20250917_152718.jpg            | 95       | 271.69 KB       | 1200x900
032.webp        | 20250917_152806.jpg            | 95       | 279.19 KB       | 1200x900
033.webp        | 20250917_152937.jpg            | 95       | 315.92 KB       | 1200x900
034.webp        | 20250917_152939.jpg            | 95       | 320.77 KB       | 1200x900
035.webp        | 20250917_152941.jpg            | 95       | 434.80 KB       | 1200x900
036.webp        | 20250917_152944.jpg            | 95       | 313.16 KB       | 1200x900
037.webp        | 20250917_160038.jpg            | 95       | 374.12 KB       | 1200x900
038.webp        | 20250917_160039.jpg            | 95       | 395.19 KB       | 1200x900
039.webp        | 20250917_160042.jpg            | 90       | 493.74 KB       | 1200x1600
040.webp        | 20250917_160121.jpg            | 90       | 460.29 KB       | 1200x1600
041.webp        | 20250917_160124.jpg            | 90       | 353.02 KB       | 1200x1600
042.webp        | 20250917_160132.jpg            | 90       | 382.99 KB       | 1200x1600
043.webp        | 20250917_160133.jpg            | 95       | 292.95 KB       | 1200x900
044.webp        | 20250917_160135.jpg            | 95       | 292.59 KB       | 1200x900
045.webp        | 20250917_160136.jpg            | 95       | 278.50 KB       | 1200x900
046.webp        | 20250917_160138.jpg            | 95       | 346.10 KB       | 1200x900
047.webp        | 20250917_160143.jpg            | 90       | 397.53 KB       | 1200x1600
048.webp        | 20250917_160152.jpg            | 90       | 346.98 KB       | 1200x1600
049.webp        | 20250917_160204.jpg            | 90       | 367.21 KB       | 1200x1600
050.webp        | 20250917_160208.jpg            | 95       | 422.46 KB       | 1200x1600
051.webp        | 20250917_160316.jpg            | 90       | 370.76 KB       | 1200x1600
052.webp        | 20250917_160326.jpg            | 95       | 471.56 KB       | 1200x1600
053.webp        | 20250917_160332.jpg            | 90       | 305.07 KB       | 1200x1600
054.webp        | 20250917_160335.jpg            | 95       | 463.29 KB       | 1200x1600
055.webp        | 20250917_160342.jpg            | 95       | 309.06 KB       | 1200x900
056.webp        | 20250917_160346.jpg            | 95       | 199.86 KB       | 1200x900
057.webp        | 20250917_160352.jpg            | 90       | 343.01 KB       | 1200x1600
058.webp        | 20250917_160355.jpg            | 95       | 447.85 KB       | 1200x1600
059.webp        | 20250917_160526.jpg            | 95       | 399.51 KB       | 1200x1600
060.webp        | 20250917_160528.jpg            | 95       | 354.19 KB       | 1200x1600
061.webp        | 20250917_160531.jpg            | 95       | 451.03 KB       | 1200x1600
062.webp        | 20250917_160541.jpg            | 90       | 422.04 KB       | 1200x1600
063.webp        | 20250917_160820.jpg            | 90       | 331.92 KB       | 1200x1600
064.webp        | 20250917_160827.jpg            | 90       | 422.25 KB       | 1200x1600
065.webp        | 20250917_161305.jpg            | 95       | 379.11 KB       | 1200x900
066.webp        | 20250917_161307.jpg            | 95       | 370.88 KB       | 1200x900
067.webp        | 20250917_161310.jpg            | 95       | 424.30 KB       | 1200x900
068.webp        | 20250917_161313.jpg            | 95       | 365.72 KB       | 1200x900
069.webp        | 20250917_161350.jpg            | 95       | 338.77 KB       | 1200x900
070.webp        | 20250917_161354.jpg            | 95       | 415.63 KB       | 1200x900
071.webp        | 20250917_161355.jpg            | 95       | 375.35 KB       | 1200x900
072.webp        | 20250917_161402.jpg            | 95       | 301.59 KB       | 1200x900
073.webp        | 20250917_161405.jpg            | 95       | 306.13 KB       | 1200x900
074.webp        | 20250917_161407.jpg            | 95       | 352.88 KB       | 1200x900
075.webp        | 20250917_161435.jpg            | 90       | 430.05 KB       | 1200x1600
076.webp        | 20250917_161438.jpg            | 90       | 395.11 KB       | 1200x1600
077.webp        | 20250917_162034.jpg            | 90       | 372.84 KB       | 1200x1600
078.webp        | 20250917_163138.jpg            | 95       | 470.70 KB       | 1200x900
079.webp        | 20250917_163139.jpg            | 95       | 411.26 KB       | 1200x900
080.webp        | 20250917_163142.jpg            | 95       | 345.66 KB       | 1200x900
081.webp        | 20250917_163146.jpg            | 95       | 370.51 KB       | 1200x900
082.webp        | 20250917_163150.jpg            | 95       | 349.37 KB       | 1200x900
083.webp        | 20250917_163153.jpg            | 90       | 364.93 KB       | 1200x1600
084.webp        | 20250917_163347.jpg            | 95       | 328.33 KB       | 1200x900
