圖片轉換日誌 - 2025-09-28 10:44:07
目標最大寬度: 1200px, 目標最大檔案: 500 KB
================================================================================
新檔名             | 原始檔名                           | 品質       | 最終大小            | 尺寸 (WxH)
--------------------------------------------------------------------------------
001.webp        | 84157496_138798554083277_5945195821031056071_n_17853050260867395.jpg | 95       | 373.03 KB       | 1200x795
002.webp        | 87684305_558523951677994_8294235052045786235_n_17847577864953381.jpg | 95       | 378.42 KB       | 1200x795
003.webp        | 87828824_204483880799184_1612097733941093316_n_17878561300552572.jpg | 95       | 301.71 KB       | 1200x795
004.webp        | 87828824_2572856936324445_8012800885822344588_n_17918016646390808.jpg | 95       | 386.88 KB       | 1200x795
005.webp        | 88183149_572146260311905_4481379377619804632_n_17917553899387064.jpg | 95       | 218.56 KB       | 1200x795
006.webp        | 88203629_212388093214906_4386488823440029400_n_17853976951856002.jpg | 95       | 281.27 KB       | 1200x795
007.webp        | 88268927_1085741251787069_2745446718625040989_n_17898249856447127.jpg | 95       | 245.37 KB       | 1200x795
008.webp        | 88922471_134943421211833_9047991782212458136_n_17891704438469516.jpg | 95       | 155.75 KB       | 1200x795
009.webp        | 88983481_560821574783831_8687086881098182036_n_17867532859642195.jpg | 95       | 340.35 KB       | 1200x795
010.webp        | 89119882_194869498525433_6000890954904158859_n_17843189762028264.jpg | 95       | 206.20 KB       | 1200x795
011.webp        | 90715764_141717570696987_3469724775096692722_n_18134808142013796.jpg | 95       | 63.15 KB        | 1200x800
012.webp        | 90980211_534630954136952_2732975354366859446_n_17915082232404529.jpg | 95       | 443.46 KB       | 1200x800
013.webp        | 91024471_890329634744913_2661869400605703296_n_17856324436869690.jpg | 95       | 57.65 KB        | 1200x800
014.webp        | 91042288_110415197097447_7785430682574094776_n_17852783137904296.jpg | 95       | 97.71 KB        | 1200x800
015.webp        | 91084000_850995552082979_3240855232422821745_n_17846143880052841.jpg | 95       | 40.68 KB        | 1200x800
016.webp        | 91105652_102219838061753_7109313839740652115_n_17842705859083182.jpg | 95       | 458.46 KB       | 1200x800
017.webp        | 91134364_3070627079668763_6152159904969546927_n_17863856485740015.jpg | 95       | 112.95 KB       | 1200x800
018.webp        | 91191240_673831779826388_5603716970647703700_n_17867343835711233.jpg | 95       | 54.01 KB        | 1200x800
019.webp        | 91220420_3048058098579274_1918511861039401139_n_18007390483284226.jpg | 95       | 49.02 KB        | 1200x800
020.webp        | 91220891_1348635108663886_4172397350594195497_n_17946113134329432.jpg | 95       | 438.45 KB       | 1200x800
021.webp        | 91240934_511050389582960_8610155453697208061_n_18135287926013233.jpg | 95       | 75.56 KB        | 1200x800
022.webp        | 91245565_260018451671577_8230919174026317203_n_17859938134792304.jpg | 95       | 189.70 KB       | 1200x800
023.webp        | 91261499_110591333738016_1157484399984967248_n_17881201795550893.jpg | 95       | 67.30 KB        | 1200x800
024.webp        | 91286269_209597637025362_6240465929746953762_n_18137037043016344.jpg | 95       | 400.84 KB       | 1200x800
025.webp        | 91493801_434250610720270_1647346843185528507_n_17848950355994019.jpg | 95       | 157.10 KB       | 1200x800
026.webp        | 91522984_231971051491305_466936216022413990_n_17851494505920221.jpg | 95       | 76.69 KB        | 1200x800
027.webp        | 91556856_2655589281379009_675900466420269248_n_17848909621996719.jpg | 95       | 290.23 KB       | 1200x800
028.webp        | 91617522_109855583833318_590612602363006913_n_17849985793983406.jpg | 95       | 174.92 KB       | 1200x800
029.webp        | 91822282_202393771067202_1701726444666546295_n_17848710887004170.jpg | 95       | 434.31 KB       | 1200x800
030.webp        | 91859066_205222120899297_4409156506633681529_n_18136471822024683.jpg | 95       | 336.41 KB       | 1200x800
