圖片轉換日誌 - 2025-09-15 22:32:03
來源: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram
輸出: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram_output
目標最大寬度: 1200px, 目標最大檔案: 500 KB
====================================================================================================
新檔名 (相對路徑)                          | 原始檔名 (相對路徑)                              | 品質       | 最終大小            | 尺寸 (WxH)
202208\005.webp                     | 202208\301309948_148373047523580_4221042153176236471_n_17979769981619987.webp | 95       | 57.28 KB        | 1200x675
202208\006.webp                     | 202208\301384335_2971003339711638_2062983301670698440_n_17935519745246924.webp | 95       | 51.52 KB        | 1200x675
202208\007.webp                     | 202208\301452739_2191895314320254_7283186233453845912_n_18228341770176423.webp | 95       | 52.60 KB        | 1200x675
202208\008.webp                     | 202208\301484946_149486757713597_2979784701516214006_n_17976106135629151.webp | 95       | 51.21 KB        | 1200x675
202208\009.webp                     | 202208\301492141_188474186900763_1314075008785624630_n_17963319934777739.webp | 95       | 88.67 KB        | 1200x675
202208\010.webp                     | 202208\301544206_618084843208362_2566284179654239631_n_17976564961630489.webp | 95       | 54.12 KB        | 1200x675
202208\011.webp                     | 202208\301580929_499355695360259_6300412548566057211_n_17942912546246794.webp | 95       | 141.96 KB       | 1200x675
202208\012.webp                     | 202208\301619284_146391834740477_2020125180457308850_n_17920905929479724.webp | 95       | 83.81 KB        | 1200x675
202208\013.webp                     | 202208\301673659_123669393751371_5796996282418369380_n_17924799248399742.webp | 95       | 62.66 KB        | 1200x675
202208\014.webp                     | 202208\301674303_392531382961710_7016020231476464434_n_18011337379449615.webp | 95       | 106.47 KB       | 1200x675
202208\015.webp                     | 202208\301682967_811700440010684_1991149083150809648_n_17902799138640833.webp | 95       | 53.46 KB        | 1200x675
202208\016.webp                     | 202208\301710928_1130890494173469_1438516484227656999_n_17844005336835161.webp | 95       | 106.36 KB       | 1200x675
202208\017.webp                     | 202208\301773277_171685918714998_96259502599486075_n_18000921814443389.webp | 95       | 119.03 KB       | 1200x675
202208\018.webp                     | 202208\301785881_478722207594645_902650198093049315_n_17919608765557412.webp | 95       | 4.69 KB         | 1200x675
202208\019.webp                     | 202208\301806147_776441860229319_8611239426083746267_n_18031552429380451.webp | 95       | 109.45 KB       | 1200x675
202208\020.webp                     | 202208\302165378_781842282940189_8524999423073163517_n_17906002505632311.webp | 95       | 174.00 KB       | 1200x675
202302\001.webp                     | 202302\331018783_655502703012456_5660336292804197691_n_18163005946287178.webp | 95       | 230.55 KB       | 1200x675
202302\002.webp                     | 202302\331101913_560845079439235_4614382451691195101_n_17974152320086195.webp | 95       | 137.89 KB       | 1200x675
202302\003.webp                     | 202302\331135927_169733765810024_8207098685420767823_n_17895508259767319.webp | 95       | 168.33 KB       | 1200x675
202302\004.webp                     | 202302\331136144_1334939257079190_5240938833714046193_n_18040084000425014.webp | 95       | 130.20 KB       | 1200x675
202302\005.webp                     | 202302\331143140_431586129152695_4476761874709781102_n_18091324096316087.webp | 95       | 273.35 KB       | 1200x675
202302\006.webp                     | 202302\331190315_215397754308306_764695967601847624_n_18344610844022489.webp | 95       | 273.62 KB       | 1200x675
202302\007.webp                     | 202302\331251906_690211952848259_6903965121732648901_n_17970224996147523.webp | 95       | 283.22 KB       | 1200x675
202302\008.webp                     | 202302\331312223_495194145938447_7103038055063989365_n_17992517599699716.webp | 95       | 196.00 KB       | 1200x675
202302\009.webp                     | 202302\331337352_1236780453858353_4678826886577702673_n_17997231562655867.webp | 95       | 97.35 KB        | 1200x675
202302\010.webp                     | 202302\331346189_911023013359384_3504726171994294077_n_18007196173569046.webp | 95       | 196.26 KB       | 1200x675
202302\011.webp                     | 202302\332428059_149390707984807_5369298608565065680_n_17996363008673485.webp | 95       | 144.82 KB       | 1200x675
202302\012.webp                     | 202302\332581434_994984211483009_1259854986331106263_n_17913594440701743.webp | 95       | 306.37 KB       | 1200x675
202302\013.webp                     | 202302\332620579_1299235324324702_70743175383516686_n_17979131402067017.webp | 95       | 169.28 KB       | 1200x675
202302\014.webp                     | 202302\332696849_114811078089378_5812787260089023603_n_17953335866522115.webp | 95       | 143.89 KB       | 1200x675
202302\015.webp                     | 202302\332742111_601639801833065_5200701792003787025_n_17954895365453060.webp | 95       | 114.53 KB       | 1200x675
202302\016.webp                     | 202302\333008973_208118628471104_2690156759438819400_n_17987754877864466.webp | 95       | 168.92 KB       | 1200x675
202302\017.webp                     | 202302\333075671_168598685957814_3960558074548409141_n_18060261379351809.webp | 95       | 181.55 KB       | 1200x675
202302\018.webp                     | 202302\333102552_134434822613632_7114197777025486847_n_17980051153967305.webp | 95       | 98.06 KB        | 1200x675
202302\019.webp                     | 202302\333151392_144949355116646_5575187482045907777_n_17904086033737664.webp | 95       | 190.02 KB       | 1200x675
202302\020.webp                     | 202302\333181918_1624424551363939_1768476045818695880_n_17966049677096647.webp | 95       | 70.25 KB        | 1200x675
202302\021.webp                     | 202302\333191556_5690861387710136_7094766526942240242_n_17971327733168370.webp | 95       | 89.45 KB        | 1200x675
202302\022.webp                     | 202302\333195491_552797293494191_1885839517393178255_n_18007431919574844.webp | 95       | 148.11 KB       | 1200x675
202302\023.webp                     | 202302\333314830_3030827487223185_8243211569327108141_n_17952423506326171.webp | 95       | 240.01 KB       | 1200x675
202302\024.webp                     | 202302\333317148_1042877946673183_7073240761664755785_n_17928649598535472.webp | 95       | 32.98 KB        | 1200x675
202302\025.webp                     | 202302\333405129_186096420723884_840281524018586589_n_17971070291021718.webp | 95       | 138.82 KB       | 1200x675
202302\026.webp                     | 202302\333444912_1388668341951567_6185881675988934138_n_17889351320730820.webp | 95       | 245.76 KB       | 1200x675
202302\027.webp                     | 202302\333870637_757445635746931_984006995491945822_n_17844643652948448.webp | 95       | 267.90 KB       | 1200x675
202303\001.webp                     | 202303\331705468_105945489093736_2991780874639531980_n_17979647665991826.webp | 95       | 84.33 KB        | 1200x675
202303\002.webp                     | 202303\331798273_734484558184790_7343889212401031091_n_17990257756830141.webp | 95       | 298.15 KB       | 1200x675
202303\003.webp                     | 202303\332289516_2422461671254863_4937621633930999664_n_17982728242946691.webp | 95       | 200.81 KB       | 1200x675
202303\004.webp                     | 202303\333095531_715536023688284_8297062373335294620_n_18042320725424118.webp | 95       | 59.86 KB        | 1200x675
202303\005.webp                     | 202303\333500785_512794647720755_8067265401015546384_n_17971035338036841.webp | 95       | 83.09 KB        | 1200x675
202303\006.webp                     | 202303\333963205_1434097660665364_5518439487099462159_n_17970014372058353.webp | 95       | 103.63 KB       | 1200x675
202303\007.webp                     | 202303\333977606_3498728183697023_938919041510288981_n_17972239799163783.webp | 95       | 118.29 KB       | 1200x675
202303\008.webp                     | 202303\334050349_745853953611672_2347164779219703315_n_17966804129245373.webp | 95       | 209.85 KB       | 1200x675
202303\009.webp                     | 202303\334336449_521685596805496_1045465390120424702_n_18349321813012561.webp | 95       | 88.64 KB        | 1200x675
202303\010.webp                     | 202303\334532501_1296501211209569_1847499276500383977_n_17978735303058496.webp | 95       | 171.09 KB       | 1200x675
202306\001.webp                     | 202306\354461948_214240591535043_6282322757144939409_n_18056790220422440.heic | 95       | 67.55 KB        | 1200x675
202306\002.webp                     | 202306\354492655_775744264036319_9128254191565352615_n_17959616291405564.heic | 95       | 64.31 KB        | 1200x675
202306\003.webp                     | 202306\354503976_1006745313663158_2583458631532067551_n_18020579455586855.heic | 95       | 100.45 KB       | 1200x675
202306\004.webp                     | 202306\354551230_6322657394483997_4864213813677255015_n_18248371564162643.heic | 95       | 144.60 KB       | 1200x675
202306\005.webp                     | 202306\354590432_283075414115586_5716071011962464105_n_17971496444384899.heic | 95       | 69.33 KB        | 1200x675
202308\001.webp                     | 202308\364291029_309364258154090_2022545953406953646_n_17938602842695433.heic | 95       | 83.96 KB        | 1200x675
202308\002.webp                     | 202308\364301367_288495200531270_8988302412315811986_n_18010887172839411.heic | 95       | 70.03 KB        | 1200x675
202308\003.webp                     | 202308\364318589_698982681999893_5368229131941425170_n_17980977425466332.heic | 95       | 138.38 KB       | 1200x675
202308\004.webp                     | 202308\364332083_649719580430066_1440991346121218989_n_18296283262115069.heic | 95       | 222.31 KB       | 1200x675
